Millenium;1;0;Gentside;PRE MSI
Team LDLC;1;0;Asus ROG;PRE MSI
Gamers Origin;0;1;Solary;PRE MSI
Millenium;1;0;Asus ROG;PRE MSI
Gentside;1;0;Solary;PRE MSI
Team LDLC;1;0;Gamers Origin;PRE MSI
Millenium;1;0;Solary;PRE MSI
Asus ROG;0;1;Gamers Origin;PRE MSI
Gentside;1;0;Team LDLC;PRE MSI
Millenium;0;1;Gamers Origin;PRE MSI
Solary;0;1;Team LDLC;PRE MSI
Asus ROG;1;0;Gentside;PRE MSI
Millenium;1;0;Team LDLC;PRE MSI
Gamers Origin;1;0;Gentside;PRE MSI
Solary;0;1;Asus ROG;PRE MSI
Gentside;0;1;Millenium;PRE MSI
Asus ROG;1;0;Team LDLC;PRE MSI
Solary;0;1;Gamers Origin;PRE MSI
Asus ROG;0;1;Millenium;PRE MSI
Solary;1;0;Gentside;PRE MSI
Gamers Origin;1;0;Team LDLC;PRE MSI
Solary;0;1;Millenium;PRE MSI
Gamers Origin;1;0;Asus ROG;PRE MSI
Team LDLC;1;0;Gentside;PRE MSI
Gamers Origin;1;0;Millenium;PRE MSI
Team LDLC;1;0;Solary;PRE MSI
Gentside;0;1;Asus ROG;PRE MSI
Team LDLC;1;0;Millenium;PRE MSI
Gentside;0;1;Gamers Origin;PRE MSI
Asus ROG;0;1;Solary;PRE MSI
Gamers Origin;3;0;Asus ROG;PRE MSI
Millenium;3;2;Team LDLC;PRE MSI
Team LDLC;2;1;Asus ROG;PRE MSI
Griffin;2;0;APK Prince;PRE MSI
Gangwon;0;2;MVP;PRE MSI
bbq Olivers;2;0;I Gaming Star;PRE MSI
Gwangju City;1;2;Jin Air Green Wings;PRE MSI
DAMWON Gaming;2;1;Kongdoo Monster;PRE MSI
Gyeonggi;0;2;ROX Tigers;PRE MSI
Team Battlecomics;1;2;Ever8 Winners;PRE MSI
Afreeca Freecs;0;2;Griffin;PRE MSI
bbq Olivers;0;2;MVP;PRE MSI
Jin Air Green Wings;2;0;DAMWON Gaming;PRE MSI
ROX Tigers;1;2;Ever8 Winners;PRE MSI
Samsung Galaxy;2;0;MVP;PRE MSI
Ever8 Winners;0;2;KT Rolster;PRE MSI
Griffin;1;2;SK Telecom T1;PRE MSI
Jin Air Green Wings;1;2;Longzhu Gaming;PRE MSI
Samsung Galaxy;1;2;KT Rolster;PRE MSI
SK Telecom T1;0;2;Longzhu Gaming;PRE MSI
Longzhu Gaming;2;3;KT Rolster;PRE MSI
Gambit Esports;1;0;M19 Team;PRE MSI
Vaevictis eSports;0;1;Vega Squadron;PRE MSI
Team Just Alpha;0;1;RoX;PRE MSI
Dragon Army;1;0;Vega Squadron;PRE MSI
Elements Pro Gaming;0;1;Vaevictis eSports;PRE MSI
Team Just Alpha;0;1;Dragon Army;PRE MSI
Vega Squadron;1;0;Elements Pro Gaming;PRE MSI
RoX;0;1;Dragon Army;PRE MSI
Elements Pro Gaming;0;1;M19 Team;PRE MSI
RoX;1;0;Gambit Esports;PRE MSI
Vaevictis eSports;0;1;M19 Team;PRE MSI
Gambit Esports;1;0;Team Just Alpha;PRE MSI
Elements Pro Gaming;0;1;RoX;PRE MSI
Vega Squadron;0;1;M19 Team;PRE MSI
RoX;1;0;Vaevictis eSports;PRE MSI
Gambit Esports;1;0;Vega Squadron;PRE MSI
Vaevictis eSports;0;1;Team Just Alpha;PRE MSI
Gambit Esports;1;0;Dragon Army;PRE MSI
Team Just Alpha;1;0;Vega Squadron;PRE MSI
RoX;1;0;M19 Team;PRE MSI
Elements Pro Gaming;0;1;Team Just Alpha;PRE MSI
M19 Team;1;0;Dragon Army;PRE MSI
Gambit Esports;1;0;Elements Pro Gaming;PRE MSI
Vaevictis eSports;0;1;Dragon Army;PRE MSI
Dragon Army;1;0;Elements Pro Gaming;PRE MSI
RoX;1;0;Vega Squadron;PRE MSI
M19 Team;1;0;Elements Pro Gaming;PRE MSI
Vega Squadron;1;0;Vaevictis eSports;PRE MSI
Team Just Alpha;1;0;M19 Team;PRE MSI
Vaevictis eSports;0;1;Gambit Esports;PRE MSI
Dragon Army;0;1;RoX;PRE MSI
